0		60	46	1	1
1		64	50	3	0.6,0.5,0.5
2		62	62	1	1.2
3		68	76	1	1
4		74	66	1	1.05
5		120	72	3	1,1,1
6		102	102	1	1.55
7		150	100	3	1,1,1
8		96	96	1	1
9		96	96	1	1.2
10		78	110	1	1.4
11		132	102	3	0.84,1,0.74
12		88	110	1	1.5
13		138	92	1	1.8
14		110	98	1	1.6

16		68	76	1	1.2
17		100	106	1	1.5
18		112	100	1	2

20		172	106	3	1.4,0,1.3
21		132	120	1	2

23		188	166	1	2.5
24		132	156	1	2
25		260	114	4	1.68,1.48,1.82,1.31
26		248	234	3	1.6,2.12,1.7
27		204	190	1	2.5

29		264	142	3	1.71,2.14,1.98

31		298	172	3	1.8,2.31,2.18

33		302	216	3	3,2.5,2.05
34		372	232	3	3,2.72,2.55
35		246	138	3	2.26,1.92,1.9
36		208	244	1	3.25
37		380	214	3	2.5,2.57,2.32
38		308	178	3	1.84,2.46,2.23
39		398	318	5	2,3.27,1.97,1,1.71

41		350	252	3	3,3,2.6

43		370	358	1	5.5
44		330	252	1	4.45
45		354	326	1	5


48		322	294	1	5
49		342	402	1	5
50		462	462	1	5
51		562	396	3	4.3,4.26,3.8
52		240	200	1	2

54		390	160	5	1.46,1.73,1.7,1.87,1.84













































